,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
248,233543_s_at,-1.108892643,4.018730157,-4.461486068,1.61E-05,0.000370763,2.683424879,ABRAXAS1
249,214961_at,-1.108724455,3.372174313,-3.710817934,0.000292639,0.002677768,-0.016549591,MTUS2
250,205674_x_at,1.108646631,5.068182104,2.67064274,0.008425717,0.032830392,-3.059867163,FXYD2
251,218360_at,-1.107370556,6.148442028,-4.410001574,1.99E-05,0.000424784,2.485947113,RAB22A
252,218009_s_at,-1.107050437,6.654751485,-3.378198715,0.000934669,0.006254193,-1.082591792,PRC1
253,221423_s_at,-1.106737999,5.981916636,-3.855040928,0.000172634,0.001847481,0.471351676,YIPF5
254,228547_at,-1.105428766,3.563202239,-3.928841691,0.000131049,0.001521255,0.726855404,NRXN1
255,235977_at,-1.104846388,5.804159588,-5.113524787,9.73E-07,6.74E-05,5.32839125,LONRF2
256,222806_s_at,-1.104488284,5.65512223,-7.05278177,6.42E-11,8.78E-07,14.50646339,EMSY
257,218947_s_at,-1.104399509,5.872828383,-5.339826244,3.47E-07,3.86E-05,6.305031747,MTPAP
258,205809_s_at,-1.104145407,6.364593678,-4.765980562,4.48E-06,0.000168169,3.886139675,WASL
259,228266_s_at,-1.104088355,6.224960667,-5.337980876,3.50E-07,3.86E-05,6.296952847,HDGFL3
260,205590_at,-1.10305925,6.360695379,-4.346674764,2.57E-05,0.000498501,2.24543941,RASGRP1
261,203276_at,-1.102907095,7.961443333,-4.466601125,1.58E-05,0.000365825,2.703139181,LMNB1
262,228408_s_at,-1.101992625,7.323861118,-4.729520691,5.24E-06,0.000184102,3.739055315,SDAD1
263,225626_at,-1.101880118,6.521884883,-3.843478148,0.000180191,0.001907075,0.431676117,PAG1
